NGC_BMU_ID,BMGROUP_NAME,SETT_BMU_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,X
MARK-1,Markinch Biomass,E_MARK-1,,,,,5,6,7,8,9,,11,,,,,16,,
MDHLW-1,Mid Hill Wind Farm,2__PSTAT002,,2,,4,5,6,7,8,9,,11,,,,,16,,
MEDP-1,Medway,T_MEDP-1,,,,,,,,,,,,,,,15,,,
MIDMW-1,Middle Muir W/F,T_MIDMW-1,,,,4,5,6,7,8,9,,11,,,,,16,,
MILWW-1,Millennium Windfarm,T_MILWW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
MINSW-1,Minsca,E_MINSW-1,,,,,,6,7,8,9,,11,,,,,16,,
MKHLW-1,Mark Hill Wind Farm,T_MKHLW-1,,,,,,6,7,8,9,,11,,,,,16,,
MOWEO-1,My Moray East Wind Farm,T_MOWEO-1,1,2,3,4,5,6,7,8,9,,11,,,,,16,,
MOWEO-2,My Moray East Wind Farm,T_MOWEO-2,1,2,3,4,5,6,7,8,9,,11,,,,,16,,
MOWEO-3,My Moray East Wind Farm,T_MOWEO-3,1,2,3,4,5,6,7,8,9,,11,,,,,16,,
MOYEW-1,Moy Wind Farm,E_MOYEW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
MRWD-1,Marchwood,T_MRWD-1,,,,,,,,,,10,,12,13,,,,,
MYGPW-1,Minnygap,T_MYGPW-1,,,,,,6,7,8,9,,11,,,,,16,,
NANT-1,Nant,T_NANT-1,,,3,4,5,6,7,8,9,,11,,,,,16,,
NOVAW-1,Novar Wind Farm,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
NOVAW-2,Novar Wind Farm,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
NSQYT-1,Ness of Quoys Tidal Farm,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
OMNDO-1,Ormonde Eng Ltd,T_OMNDW-1,,,,,,,,8,9,,,,,,,,,
PAUHW-1,Pauls' Hill Aberlour,2_PPGEN002,1,2,,4,5,6,7,8,9,,11,,,,,16,,
PEHE-1,Peterhead,T_PEHE-1,,2,,4,5,6,7,8,9,,11,,,,,16,,
PEMB-11,Pembroke Power Station,T_PEMB-11,,,,,,,,,,,,12,,,,,,
PEMB-21,Pembroke Power Station,T_PEMB-21,,,,,,,,,,,,12,,,,,,
PEMB-31,Pembroke Power Station,T_PEMB-31,,,,,,,,,,,,12,,,,,,
PEMB-41,Pembroke Power Station,T_PEMB-41,,,,,,,,,,,,12,,,,,,
PEMB-51,Pembroke Power Station,T_PEMB-51,,,,,,,,,,,,12,,,,,,
PETEM1,Peterborough,E_PETEM1,,,,,,,,,,,,,,,,,,X
PGBIW-1,Pogbie Wind Farm,T_PGBIW-1,,,,,,6,7,8,9,,11,,,,,16,,
PNYCW-1,Pen y Cymoedd Wind Farm,T_PNYCW-1,,,,,,,,,,,,12,,,,,,
PTLDW-1,Pentland Road Wind Farm,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
RANN-1,Rannoch,,,,,4,5,6,7,8,9,,11,,,,,16,,
RANN-2,Rannoch,,,,,4,5,6,7,8,9,,11,,,,,16,,
RANN-3,Rannoch,,,,,4,5,6,7,8,9,,11,,,,,16,,
RATS-1,Ratcliffe,T_RATS-1,,,,,,,,,9,,,,,,,,17,
RATS-2,Ratcliffe,T_RATS-2,,,,,,,,,9,,,,,,,,17,
RATS-3,Ratcliffe,T_RATS-3,,,,,,,,,9,,,,,,,,17,
RATS-4,Ratcliffe,T_RATS-4,,,,,,,,,9,,,,,,,,17,
RATSGT-2,Ratcliffe,T_RATSGT-2,,,,,,,,,9,,,,,,,,17,
RATSGT-4,Ratcliffe,T_RATSGT-4,,,,,,,,,9,,,,,,,,17,
RCBKO-1,Race Bank Offshore Wind Farm,T_RCBKO-1,,,,,,,,,,,,,,,,,,X
RCBKO-2,Race Bank Offshore Wind Farm,T_RCBKO-2,,,,,,,,,,,,,,,,,,X
REDGT-1,Redditch Power Station,E_REDGT-1,,,,,,,,,9,,,,,,,,17,
